;loss;accuracy;val_loss;val_accuracy
0;1.0045889616012573;0.8273195624351501;0.31856560707092285;0.9328165650367737
1;0.38298842310905457;0.9197809100151062;0.5650978088378906;0.9276486039161682
2;0.2611944377422333;0.9436211585998535;0.33023983240127563;0.9457364082336426
3;0.17371533811092377;0.9584407210350037;0.26018497347831726;0.9534883499145508
4;0.191289022564888;0.9619845151901245;0.3215782940387726;0.9534883499145508
5;0.11884566396474838;0.9761598110198975;0.2498716413974762;0.961240291595459
6;0.07836715131998062;0.9784149527549744;0.2521851658821106;0.9664082527160645
7;0.08488709479570389;0.9809922575950623;0.23160505294799805;0.9664082527160645
8;0.11306458711624146;0.9777706265449524;0.22044822573661804;0.9664082527160645
9;0.10654102265834808;0.9780927896499634;0.17697587609291077;0.9689922332763672
